Distrito,Ubigeo
BELLAVISTA,070102
CALLAO,070101
CARMEN DE LA LEGUA,070103
LA PERLA,070104
LA PUNTA,070105
MI PERU,070107
VENTANILLA,070106
ARAHUAY,150402
CANTA,150401
HUAMANTANGA,150403
HUAROS,150404
LACHAQUI,150405
SAN BUENAVENTURA,150406
SANTA ROSA DE QUIVES,150407
ASIA,150502
CALANGO,150503
CERRO AZUL,150504
CHILCA,150505
COAYLLO,150506
IMPERIAL,150507
LUNAHUANA,150508
MALA,150509
NUEVO IMPERIAL,150510
PACARAN,150511
QUILMANA,150512
SAN ANTONIO,150513
SAN LUIS,150514
SAN VICENTE DE CAÑETE,150501
SANTA CRUZ DE FLORES,150515
ZUÑIGA,150516
ANTIOQUIA,150702
CALLAHUANCA,150703
CARAMPOMA,150704
CHICLA,150705
CUENCA,150706
HUACHUPAMPA,150707
HUANZA,150708
HUAROCHIRI,150709
LAHUAYTAMBO,150710
LANGA,150711
LARAOS,150712
MARIATANA,150713
MATUCANA,150701
RICARDO PALMA,150714
SAN ANDRES DE TUPICOCHA,150715
SAN ANTONIO,150716
SAN BARTOLOME,150717
SAN DAMIAN,150718
SAN JUAN DE IRIS,150719
SAN JUAN DE TANTARANCHE,150720
SAN LORENZO DE QUINTI,150721
SAN MATEO,150722
SAN MATEO DE OTAO,150723
SAN PEDRO DE CASTA,150724
SAN PEDRO DE HUANCAYRE,150725
SANGALLAYA,150726
SANTA CRUZ DE COCACHACRA,150727
SANTA EULALIA,150728
SANTIAGO DE ANCHUCAYA,150729
SANTIAGO DE TUNA,150730
SANTO DOMINGO DE LOS OLLEROS,150731
SURCO,150732
ANCON,150102
ATE,150103
BARRANCO,150104
BREÑA,150105
CARABAYLLO,150106
CHACLACAYO,150107
CHORRILLOS,150108
CIENEGUILLA,150109
EL AGUSTINO,150111
INDEPENDENCIA,150112
JESUS MARIA,150113
LA MOLINA,150114
LA VICTORIA,150115
LIMA,150101
LINCE,150116
LOS OLIVOS,150117
LURIGANCHO,150118
LURIN,150119
MAGDALENA DEL MAR,150120
MIRAFLORES,150122
PACHACAMAC,150123
PUCUSANA,150124
PUEBLO LIBRE,150121
PUENTE PIEDRA,150125
PUNTA HERMOSA,150126
PUNTA NEGRA,150127
RIMAC,150128
SAN BARTOLO,150129
SAN BORJA,150130
SAN ISIDRO,150131
SAN JUAN DE LURIGANCHO,150132
SAN JUAN DE MIRAFLORES,150133
SAN LUIS,150134
SAN MARTIN DE PORRES,150135
SAN MIGUEL,150136
SANTA ANITA,150137
SANTA MARIA DEL MAR,150138
SANTA ROSA,150139
SANTIAGO DE SURCO,150140
SURQUILLO,150141
VILLA EL SALVADOR,150142
VILLA MARIA DEL TRIUNFO,150143
ALÍS,151002
AYAUCA,151003
AYAVIRI,151004
AZANGARO,151005
CACRA,151006
CARANIA,151007
CATAHUASI,151008
CHOCOS,151009
COCHAS,151010
COLONIA,151011
HONGOS,151012
HUAMPARA,151013
HUANCAYA,151014
HUANGASCAR,151015
HUANTAN,151016
HUAÑEC,151017
LARAOS,151018
LINCHA,151019
MADEAN,151020
MIRAFLORES,151021
OMAS,151022
PUTINZA,151023
QUINCHES,151024
QUINOCAY,151025
SAN JOAQUIN,151026
SAN PEDRO DE PILAS,151027
TANTA,151028
TAURIPAMPA,151029
TOMAS,151030
TUPE,151031
VIÑAC,151032
VITIS,151033
YAUYOS,151001
ALTO SELVA ALEGRE,40102
AREQUIPA,40101
CAYMA,40103
CERRO COLORADO,40104
CHIGUATA,40106
JACOBO HUNTER,40107
JOSE LUIS BUSTAMANTE Y RIVERO,40129
LA JOYA,40108
MARIANO MELGAR,40109
MIRAFLORES,40110
MOLLEBAYA,40111
PAUCARPATA,40112
POCSI,40113
POLOBAYA,40114
QUEQUEÑA,40115
SABANDIA,40116
SACHACA,40117
SAN JUAN DE SIGUAS,40118
SAN JUAN DE TARUCANI,40119
SANTA ISABEL DE SIGUAS,40120
SANTA RITA DE SIGUAS,40121
SOCABAYA,40122
TIABAYA,40123
UCHUMAYO,40124
VITOR,40125
YANAHUARA,40126
YARABAMBA,40127
YURA,40128
CAMANA,40201
JOSE MARIA QUIMPER,40202
MARIANO NICOLAS VALCARCEL,40203
MARISCAL CACERES,40204
NICOLAS DE PIEROLA,40205
OCOÑA,40206
QUILCA,40207
SAMUEL PASTOR,40208
ACARI,40302
ATICO,40303
ATIQUIPA,40304
BELLA UNION,40305
CAHUACHO,40306
CARAVELI,40301
CHALA,40307
CHAPARRA,40308
HUANUHUANU,40309
JAQUI,40310
LOMAS,40311
QUICACHA,40312
YAUCA,40313
ANDAGUA,40402
APLAO,40401
AYO,40403
CHACHAS,40404
CHILCAYMARCA,40405
CHOCO,40406
HUANCARQUI,40407
MACHAGUAY,40408
ORCOPAMPA,40409
PAMPACOLCA,40410
TIPAN,40411
UÑON,40412
URACA,40413
VIRACO,40414
ACHOMA,40502
CABANACONDE,40503
CALLALLI,40504
CAYLLOMA,40505
CHIVAY,40501
COPORAQUE,40506
HUAMBO,40507
HUANCA,40508
ICHUPAMPA,40509
LARI,40510
LLUTA,40511
MACA,40512
MAJES,40520
SAN ANTONIO DE CHUCA,40514
SIBAYO,40515
TAPAY,40516
TISCO,40517
TUTI,40518
YANQUE,40519
ANDARAY,40602
CAYARANI,40603
CHICHAS,40604
CHUQUIBAMBA,40601
IRAY,40605
RIO GRANDE,40606
SALAMANCA,40607
YANAQUIHUA,40608
COCACHACRA,40702
DEAN VALDIVIA,40703
ISLAY,40704
MEJIA,40705
MOLLENDO,40701
PUNTA DE BOMBON,40706
ALCA,40802
CHARCANA,40803
COTAHUASI,40801
HUAYNACOTAS,40804
PAMPAMARCA,40805
PUYCA,40806
QUECHUALLA,40807
SAYLA,40808
TAURIA,40809
TOMEPAMPA,40810
TORO,40811
COALAQUE,180203
LA CAPILLA,180205
MATALAQUE,180207
OMATE,180201
PUQUINA,180208
UBINAS,180210
ASCOPE,130201
CASA GRANDE,130208
CHICAMA,130202
CHOCOPE,130203
MAGDALENA DE CAO,130204
PAIJAN,130205
RAZURI,130206
SANTIAGO DE CAO,130207
BAMBAMARCA,130302
BOLIVAR,130301
CONDORMARCA,130303
LONGOTEA,130304
UCHUMARCA,130305
UCUNCHA,130306
CHEPEN,130401
PACANGA,130402
PUEBLO NUEVO,130403
CASCAS,131101
LUCMA,131102
MARMOT,131103
SAYAPULLO,131104
CALAMARCA,130502
CARABAMBA,130503
HUASO,130504
JULCAN,130501
AGALLPAMPA,130602
CHARAT,130604
HUARANCHAL,130605
LA CUESTA,130606
MACHE,130608
OTUZCO,130601
PARANDAY,130610
SALPO,130611
USQUIL,130614
GUADALUPE,130702
JEQUETEPEQUE,130703
PACASMAYO,130704
SAN JOSE,130705
SAN PEDRO DE LLOC,130701
BULDIBUYO,130802
CHILLIA,130803
HUANCASPATA,130804
HUAYLILLAS,130805
HUAYO,130806
ONGON,130807
PARCOY,130808
PATAZ,130809
PIAS,130810
SANTIAGO DE CHALLAS,130811
TAURIJA,130812
TAYABAMBA,130801
URPAY,130813
CHUGAY,130902
COCHORCO,130903
CURGOS,130904
HUAMACHUCO,130901
MARCABAL,130905
SANAGORAN,130906
SARIN,130907
SARTIMBAMBA,130908
ANGASMARCA,131002
CACHICADAN,131003
MOLLEBAMBA,131004
MOLLEPATA,131005
QUIRUVILCA,131006
SANTA CRUZ DE CHUCA,131007
SANTIAGO DE CHUCO,131001
SITABAMBA,131008
EL PORVENIR,130102
FLORENCIA DE MORA,130103
HUANCHACO,130104
LA ESPERANZA,130105
LAREDO,130106
MOCHE,130107
POROTO,130108
SALAVERRY,130109
SIMBAL,130110
TRUJILLO,130101
VICTOR LARCO HERRERA,130111
CHAO,131202
GUADALUPITO,131203
VIRU,131201
CANGALLO,50201
CHUSCHI,50202
LOS MOROCHUCOS,50203
MARIA PARADO DE BELLIDO,50204
PARAS,50205
TOTOS,50206
ACOCRO,50102
ACOS VINCHOS,50103
ANDRES AVELINO CACERES DORREGARAY,50116
AYACUCHO,50101
CARMEN ALTO,50104
CHIARA,50105
JESUS NAZARENO,50115
OCROS,50106
PACAYCASA,50107
QUINUA,50108
SAN JOSE DE TICLLAS,50109
SAN JUAN BAUTISTA,50110
SANTIAGO DE PISCHA,50111
SOCOS,50112
TAMBILLO,50113
VINCHOS,50114
SACSAMARCA,50303
SANCOS,50301
SANTIAGO DE LUCANAMARCA,50304
AYAHUANCO,50402
CANAYRE,50409
CHACA,50412
HUAMANGUILLA,50403
HUANTA,50401
IGUAIN,50404
LLOCHEGUA,50408
